model,threshold,f1,f2,precision,recall,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Model C: YOLO only,0.8,0.09900990099,0.08305647841,0.145631068,0.075,0.06285714286,0.925,15,88,185,1312
Model C: YOLO only,0.81,0.09059233449,0.07328072153,0.1494252874,0.065,0.05285714286,0.935,13,74,187,1326
Model C: YOLO only,0.82,0.06642066421,0.05166475316,0.1267605634,0.045,0.04428571429,0.955,9,62,191,1338
Model C: YOLO only,0.83,0.05405405405,0.04074505239,0.1186440678,0.035,0.03714285714,0.965,7,52,193,1348
Model C: YOLO only,0.84,0.05490196078,0.04093567251,0.1272727273,0.035,0.03428571429,0.965,7,48,193,1352
Model C: YOLO only,0.85,0.05714285714,0.04142011834,0.1555555556,0.035,0.02714285714,0.965,7,38,193,1362
Model C: YOLO only,0.86,0.03433476395,0.02400960384,0.1212121212,0.02,0.02071428571,0.98,4,29,196,1371
Model C: YOLO only,0.87,0.03652968037,0.02442002442,0.2105263158,0.02,0.01071428571,0.98,4,15,196,1385
Model C: YOLO only,0.88,0.01869158879,0.01228501229,0.1428571429,0.01,0.008571428571,0.99,2,12,198,1388
Model C: YOLO only,0.89,0.009756097561,0.006211180124,0.2,0.005,0.002857142857,0.995,1,4,199,1396
Model C: YOLO only,0.9,0,0,0,0,0.002142857143,1,0,3,200,1397
Model C: YOLO only,0.91,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.92,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.93,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.94,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.95,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.96,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.97,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.98,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,0.99,0,0,0,0,0,1,0,0,200,1400
Model C: YOLO only,1,0,0,0,0,0,1,0,0,200,1400
